OPC-N2 FirmwareVer=OPC-018.2..............................BD
OPC-N2 176880013                                            
Config info:
GSC,1.000
LaserDAC,183
FanDAC,255
ToFtoSFRfactor,74
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15
Boundary(upper),17,27,41,60,79,123,234,388,575,909,1294,1866,2475,3092,3685,4095
ParticleVolume(um3),0.051,0.151,0.401,0.894,1.646,3.209,8.530,22.449,47.713,99.541,199.532,381.703,696.910,1150.347,1767.146,2460.612
ParticleDensity(g/ml),1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
SampleVolumeWeighting,4.500,3.000,2.000,0.500,0.300,0.250,0.250,0.250,0.350,0.450,0.500,0.800,1.000,1.000,1.000,1.000
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SFR(ml/s),SamplingPeriod(s),PM1(ug/m3),PM2.5,PM10
6,5,1,0,1,3,0,0,0,0,0,0,0,0,0,0,20,0,24,0,3.702,1.387,1.250,2.106,2.284
13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,3.690,1.387,1.312,1.484,1.486
11,3,2,0,1,1,1,0,0,0,0,0,0,0,0,0,18,0,25,0,3.708,1.387,1.481,2.359,2.756
13,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,25,0,0,3.720,1.387,1.347,1.605,1.612
12,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,19,23,23,25,3.723,1.382,1.179,1.917,3.269
7,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,16,21,27,0,3.779,1.387,1.425,2.001,2.062
7,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22,23,0,0,3.764,1.387,0.914,1.157,1.164
9,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,0,27,0,3.781,1.387,0.875,1.106,1.159
9,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,15,25,0,0,3.810,1.387,1.209,1.660,1.682
11,6,1,2,1,0,0,0,0,0,0,0,0,0,0,0,21,22,0,0,3.782,1.387,1.729,2.259,2.284
11,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,3.759,1.387,1.148,1.344,1.358
11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.759,1.382,0.914,1.037,1.039
6,2,4,2,0,1,0,0,0,0,0,0,0,0,0,0,22,21,29,0,3.745,1.388,1.346,2.149,2.219
8,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,3.754,1.387,0.993,1.342,1.359
8,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,3.703,1.387,1.221,1.537,1.553
10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3.706,1.387,0.974,1.117,1.119
10,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,19,23,0,0,3.709,1.387,1.459,1.996,2.007
14,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,21,23,0,0,3.700,1.387,1.693,2.078,2.086
8,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,19,22,0,0,3.709,1.382,1.342,1.916,1.943
7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.709,1.387,0.641,0.757,0.759
12,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,3.709,1.388,1.113,1.292,1.306
10,3,4,0,2,0,1,0,0,0,0,0,0,0,0,0,22,0,0,0,3.691,1.387,1.722,2.744,3.107
10,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,3.714,1.387,1.479,1.788,1.792
12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,21,29,0,3.714,1.387,0.908,1.193,1.251
11,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,19,0,23,0,3.717,1.388,1.377,2.009,2.082
10,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,3.716,1.382,1.249,1.851,2.194
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.716,1.387,0.775,0.797,0.797
