 

stn;time;xchills0;rco150z0;uor200s0;sre000z0;fu3010z0
GVE;201806072200;18.7;0;81.5;0;20.2
GVE;201806072210;18.4;0;81.8;0;20.2
GVE;201806072220;18.6;0;79.7;0;19.4
GVE;201806072230;18.1;0;82.7;0;14.4
GVE;201806072240;17.9;0;83.1;0;15.1
GVE;201806072250;18.1;0;79.9;0;18.0
GVE;201806072300;18.3;0;76.2;0;19.8
GVE;201806072310;18.2;0;76.3;0;22.0
GVE;201806072320;18.0;0;77.6;0;22.0
GVE;201806072330;17.8;0;78.8;0;21.6
GVE;201806072340;17.7;0;80.2;0;23.8
GVE;201806072350;17.6;0;80.3;0;24.8
GVE;201806080000;17.5;0;81.1;0;20.9
GVE;201806080010;17.4;0;82.1;0;17.6
GVE;201806080020;17.3;0;83.4;0;18.0
GVE;201806080030;17.2;0;83.5;0;12.6
GVE;201806080040;17.2;1;82.2;0;10.4
GVE;201806080050;17.1;10;85.7;0;7.9
GVE;201806080100;16.5;10;91.5;0;6.8
GVE;201806080110;16.5;5;93.1;0;8.3
GVE;201806080120;16.0;0;94.9;0;7.2
GVE;201806080130;16.2;0;93.6;0;4.3
GVE;201806080140;16.4;0;94.9;0;5.0
GVE;201806080150;16.3;0;93.7;0;6.1
GVE;201806080200;15.9;0;96.0;0;3.6
GVE;201806080210;16.1;0;96.2;0;5.0
GVE;201806080220;16.1;0;96.0;0;5.4
GVE;201806080230;16.2;0;95.0;0;5.8
GVE;201806080240;16.2;0;93.7;0;5.0
GVE;201806080250;16.1;0;94.4;0;5.4
GVE;201806080300;16.1;0;94.9;0;6.5
GVE;201806080310;16.1;0;93.1;0;7.2
GVE;201806080320;16.1;6;94.5;0;9.0
GVE;201806080330;15.9;10;95.1;0;9.4
GVE;201806080340;15.8;10;96.7;0;5.0
GVE;201806080350;16.0;1;95.4;0;6.1
GVE;201806080400;15.9;0;96.1;0;4.7
GVE;201806080410;15.9;0;95.2;0;5.0
GVE;201806080420;15.6;0;99.0;0;4.3
GVE;201806080430;15.8;0;97.1;0;5.4
GVE;201806080440;15.8;0;98.5;0;2.9
GVE;201806080450;16.1;0;96.7;0;2.9
GVE;201806080500;16.2;0;95.8;0;5.4
GVE;201806080510;16.2;0;96.3;0;4.7
GVE;201806080520;16.4;0;91.4;2;3.2
GVE;201806080530;16.6;0;92.4;0;3.6
GVE;201806080540;16.7;0;92.4;1;4.0
GVE;201806080550;17.0;0;90.0;4;5.0
GVE;201806080600;17.0;0;89.3;2;4.3
GVE;201806080610;17.0;0;88.9;0;3.6
GVE;201806080620;16.9;0;90.6;0;4.7
GVE;201806080630;17.1;0;88.2;0;4.7
GVE;201806080640;17.2;0;88.5;0;5.8
GVE;201806080650;17.5;0;87.7;0;6.5
GVE;201806080700;17.5;0;88.9;0;6.5
GVE;201806080710;18.0;0;86.1;0;5.8
GVE;201806080720;17.7;0;85.1;0;6.5
GVE;201806080730;18.2;0;83.5;0;6.5
GVE;201806080740;18.3;0;82.7;0;5.0
GVE;201806080750;19.3;0;79.4;2;8.6
GVE;201806080800;18.8;0;76.7;0;9.0
GVE;201806080810;20.1;0;75.4;7;11.2
GVE;201806080820;19.6;0;73.1;10;10.8
GVE;201806080830;19.4;0;72.4;10;10.1
GVE;201806080840;20.4;0;70.9;10;9.7
GVE;201806080850;19.8;0;72.4;10;9.0
GVE;201806080900;20.5;0;68.7;9;9.0
GVE;201806080910;20.7;0;70.5;10;5.8
GVE;201806080920;21.4;0;69.4;10;6.8
GVE;201806080930;21.6;0;68.3;10;6.8
GVE;201806080940;21.1;0;67.9;10;6.1
GVE;201806080950;21.8;0;69.3;10;4.7
GVE;201806081000;20.9;0;67.2;3;5.0
GVE;201806081010;21.1;0;66.2;3;5.4
GVE;201806081020;21.8;0;65.1;4;2.9
GVE;201806081030;23.2;0;68.2;10;6.8
GVE;201806081040;22.5;0;60.1;10;8.6
GVE;201806081050;22.6;0;61.5;10;6.5
GVE;201806081100;22.8;0;60.1;10;4.3
GVE;201806081110;23.1;0;62.8;10;5.4
GVE;201806081120;22.8;0;59.3;10;5.4
GVE;201806081130;24.4;0;55.2;10;6.5
GVE;201806081140;23.3;0;62.5;8;5.0
GVE;201806081150;23.1;0;59.6;6;3.6
GVE;201806081200;22.5;0;63.0;0;6.1
GVE;201806081210;23.2;0;62.9;2;13.3
GVE;201806081220;23.5;0;61.4;2;10.8
GVE;201806081230;23.6;0;62.2;5;10.8
GVE;201806081240;24.1;0;60.1;9;13.3
GVE;201806081250;23.9;0;61.8;9;12.2
GVE;201806081300;24.7;0;59.8;10;11.5
GVE;201806081310;24.4;0;59.5;10;11.5
GVE;201806081320;24.2;0;62.1;4;8.3
GVE;201806081330;24.9;0;59.3;4;6.8
GVE;201806081340;23.5;0;63.4;1;14.4
GVE;201806081350;23.6;0;64.0;1;16.6
GVE;201806081400;22.6;0;60.0;0;14.0
GVE;201806081410;22.3;0;61.0;0;7.9
GVE;201806081420;22.0;5;70.1;0;6.5
GVE;201806081430;20.3;10;84.1;0;7.6
GVE;201806081440;20.8;7;85.8;0;9.7
GVE;201806081450;21.1;0;79.9;0;10.1
GVE;201806081500;20.9;0;85.6;0;9.4
GVE;201806081510;21.2;0;78.2;0;9.4
GVE;201806081520;22.0;0;74.4;0;7.9
GVE;201806081530;23.0;0;67.8;2;8.6
GVE;201806081540;24.0;0;63.0;9;8.3
GVE;201806081550;24.0;0;58.3;8;7.6
GVE;201806081600;23.4;0;66.7;2;6.1
GVE;201806081610;20.1;0;79.0;1;31.3
GVE;201806081620;19.8;0;81.7;4;28.8
GVE;201806081630;19.7;0;80.8;4;21.6
GVE;201806081640;19.5;0;80.7;0;17.3
GVE;201806081650;19.6;0;82.2;0;15.5
GVE;201806081700;19.5;0;82.4;0;15.8
GVE;201806081710;20.2;0;79.6;8;12.6
GVE;201806081720;19.4;0;79.4;1;12.6
GVE;201806081730;19.2;0;77.9;0;12.6
GVE;201806081740;19.0;0;79.6;0;10.8
GVE;201806081750;18.8;0;81.0;0;11.2
GVE;201806081800;18.8;0;79.8;0;7.2
GVE;201806081810;18.7;0;81.5;0;5.4
GVE;201806081820;18.6;0;80.8;0;8.6
GVE;201806081830;18.4;0;82.8;0;6.1
GVE;201806081840;18.4;0;82.8;0;4.7
GVE;201806081850;18.1;0;86.3;0;3.6
GVE;201806081900;18.0;0;85.0;0;5.0
GVE;201806081910;18.4;0;83.5;0;4.3
GVE;201806081920;18.2;0;86.2;0;5.4
GVE;201806081930;18.4;0;84.8;0;4.7
GVE;201806081940;17.8;0;88.7;0;4.7
GVE;201806081950;18.0;0;87.1;0;4.0
GVE;201806082000;18.2;0;86.1;0;4.7
GVE;201806082010;18.2;0;86.4;0;5.0
GVE;201806082020;17.9;0;88.1;0;7.6
